Country Name,"Country Code","Time","Time Code","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]","Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]","Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS]","Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC]","Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE]","Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]","External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]","Forest area (sq. km) [AG.LND.FRST.K2]","GDP (current US$) [NY.GDP.MKTP.CD]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS]","High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]","Income share held by lowest 20% [SI.DST.FRST.20]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS]","Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]","Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD]","Net migration [SM.POP.NETM]","Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD]","Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Population density (people per sq. km of land area) [EN.POP.DNST]","Population growth (annual %) [SP.POP.GROW]","Population, total [SP.POP.TOTL]","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY]","Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL]","Surface area (sq. km) [AG.SRF.TOTL.K2]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS]","Time required to start a business (days) [IC.REG.DURS]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]","Urban population growth (annual %) [SP.URB.GROW]"
India,"IND","2007","YR2007","45.112","16.7501197597911","44.008979944675","NA","1.1235994817209","NA","NA","538.786595949405","482.456440111541","20.7996997489457","204057539299.5","2.784","25227740886.6819","689245","1216736448906.29","7.66081506504928","910","3500","1081966970557.62","4158793573549.76","41.9507982276356","NA","70","24.8865689304956","NA","30.90323825115","6.94441825372725","65.788","31.1923753365943","2.47824652803557","19.63701843","67.8","78.2945665592","-769184","1329209960.9375","37216755275.2503","400.139852818017","1.46637175001498","1189691809","NA","NA","0.4","NA","NA","14.4395957808882","107.923568725586","0.942560017108917","56.3115386962891","78.8888888888889","3287260","12.1083469904396","NA","NA","15.5909922080123","2.59963313831962"
India,"IND","2008","YR2008","48.306","16.7909423598037","44.2655532503458","52.3","1.18036124666151","54.8","NA","558.426753458539","499.038799581952","24.0973572601391","227111768434.6","2.718","43406277075.8109","691150","1198895147694.77","3.08669805953289","990","3610","1195031000085.44","4361562882377.18","38.4224196526378","NA","72","29.2708631790835","NA","31.1367192407735","9.19396962626338","66.149","43.0279496077611","2.63146078124112","28.74616679","64.5","78.2945665592","-846785","2011579956.05469","49977276916.3209","405.872078810974","1.42239150883577","1206734806","NA","NA","0.4","NA","NA","12.7597307966559","108.311706542969","0.967050015926361","59.2412605285645","80","3287260","10.9771721522223","NA","NA","9.65799265540479","2.55287302199413"
India,"IND","2009","YR2009","41.494","16.7442701565521","44.5221265560166","NA","1.27887360284089","NA","NA","595.605655832676","541.994376843597","20.4005193744525","256312241333.4","2.673","35581372929.6642","693055","1341888016988.57","7.86188883303498","1110","3870","1358352104309.97","4734626196586.35","39.2567917556327","9.56530523039041","78","25.8723502686493","8.3","31.1213721113498","7.04036543496747","66.513","31.4564996971423","3.12938472737472","42.91212541","61.3","91.1579688347","-803437","2456610107.42188","49203912008.5506","411.558010083446","1.39119493033754","1223640160","32.9","29.8","0.3","NA","NA","11.420288591931","106.916801452637","0.989970028400421","58.4031181335449","75.5555555555556","3287260","9.80972540643427","NA","NA","6.0184103184778","2.51230889183139"
India,"IND","2010","YR2010","39.222","17.0265090139755","44.7786998616874","NA","1.33803383522422","NA","NA","637.125844225376","558.786561604894","22.4009332488238","290427544563.2","2.603","27396885033.7839","694960","1675615502766.2","8.49758470158106","1210","4170","1505735812102.73","5173866049787.04","39.7856241738229","7.72334080992274","82","26.8542732486568","NA","30.725078228098","10.5260308561853","66.909","34.4102808220706","2.88946327164641","60.63048058","58.1","89.6797314993","-380087","2831340087.89063","53479960083.2432","417.266848065546","1.37759581159767","1240613620","NA","NA","0.3","NA","NA","13.1835965373936","106.551513671875","0.989049971103668","61.7925415039062","81.1111111111111","3287260","10.3880397905448","NA","NA","6.81923327447653","2.49274628981713"
India,"IND","2011","YR2011","36.935","17.1919735574426","44.7786998616874","NA","1.39687849773199","NA","NA","692.779356959802","574.624111911931","24.5404113195713","334399298473.1","2.536","36498654597.8589","697624","1823051829894.55","5.24131500140663","1360","4430","1704432599754.89","5568974800574.79","39.5904214421164","7.86856500680686","84","31.0834686939585","8.1","30.1616797630407","8.73358014404614","67.359","42.0924401279578","2.70448222276966","71.07565334","55","86.3417762321","-244114","3270219970.70313","62499075444.7366","422.987158910127","1.36158808453343","1257621191","22.5","21.9","0.3","NA","NA","11.4959960090891","103.955017089844","0.998529970645905","64.86328125","76.6666666666667","3287260","10.1773871997608","NA","NA","6.4138689129389","2.47403243101329"
India,"IND","2012","YR2012","34.535","16.8453770626131","44.7786998616874","NA","1.49820412282441","NA","NA","718.295946185698","595.062341209912","24.5344306564341","392576050359.7","2.467","23995685014.2142","700288","1827637579584.79","5.45638875297365","1470","4770","1870994898063.07","6080904818549.92","38.3474156652505","7.69991801319108","83","31.2592910609832","NA","29.3985276906575","7.93438627031915","67.887","43.0348997408274","2.61816634758562","67.84853606","52","86.4283778131","-180991","1681849975.58594","68820517837.6536","428.65986196644","1.33219204981494","1274487215","NA","NA","0.3","NA","NA","12.5998727739265","107.770881652832","1.00339996814728","67.4561462402344","75.5555555555556","3287260","10.8367717187679","NA","NA","6.71426990966754","2.47033820164956"
India,"IND","2013","YR2013","33.962","17.1484235435478","44.7786998616874","NA","1.52767440026001","NA","NA","758.110675158719","600.966036887893","25.430861300519","427245079805.9","2.406","28153031270.3203","702952","1856721494834.64","6.38610640094825","1500","4950","1941116726990.66","6396857208684.85","34.0232020837499","8.86996677961836","83","28.4132706461587","NA","28.4048995601136","6.1865039792641","68.46","42.0227267347647","2.5488248901417","68.6455143","49.1","88.6956489999","-236387","2456340087.89063","69970360846.7858","434.258174889597","1.29754883539168","1291132063","NA","NA","0.3","NA","NA","12.6089934124693","102.517570495605","1.03569304943085","67.0827331542969","73.3333333333333","3287260","11.0016256942917","NA","32.6","8.08000121217609","2.45726439138516"
India,"IND","2014","YR2014","34.643","16.7919345145841","44.7786998616874","81.4","1.64246527737333","NA","NA","797.349232010839","630.900867833184","22.9679630081172","457507409077.4","2.306","34576643694.1383","705616","2039126469963.35","7.41022760508854","1550","5130","2020998379216.56","6700838434194.09","34.2678056156548","9.21716620337348","85","25.9542227389497","NA","27.6564012029651","3.33175691706154","69.074","38.5264970845149","2.54398176462257","72.21351677","46.2","90.0163618126","-310694","2991820068.35938","70388642796.5471","439.678092890128","1.24036218382689","1307246509","NA","NA","0.3","29.4","NA","11.550620644555","NA","1.03251755237579","72.282470703125","81.1111111111111","3287260","9.98465419071312","NA","35","18.6296205367074","2.42384462717953"
India,"IND","2015","YR2015","22.432","16.1745081066222","44.7786998616874","NA","1.63132348717228","NA","NA","NA","NA","19.8131891564045","478825585025.1","2.287","44009492129.5319","708280","2103588347241.77","7.99625378571471","1590","5350","2097598199310.03","7076731493413.66","32.1167301358276","8.02187885520723","87","22.1097247094602","8.4","27.34739147794","2.27958810849833","69.636","31.4739336176739","2.45745006060163","75.67324414","43.6","100","-475094","3174350097.65625","68909693352.8351","444.931708030768","1.18779532005068","1322866505","18.7","NA","0.3","36.3","NA","12.4152095425778","100.712768554688","1.03027153015137","72.0130081176758","77.7778","3287260","10.5697090519718","NA","30","11.2063383547997","2.39405297719892"
India,"IND","2016","YR2016","20.025","16.3638005613732","44.7786998616874","81.4","1.63991401876928","53.5","NA","NA","NA","19.1582349105946","455502090498.9","2.273","44458571545.798","710944","2294796889945.04","8.25630550179086","1660","5660","2226423003454.8","7577059418948.02","30.172691670561","7.66035723093902","88","20.9242508026814","8.3","26.6189999400439","3.23797495080767","70.117","27.2874258608131","2.54315152114541","84.25058892","41","105.321171053","68119","2679040039.0625","62744364089.9512","450.235719883358","1.18504622906796","1338636340","18.1","NA","0.2","NA","NA","12.8510169890546","100.254035949707","1.03045177459717","73.2554779052734","81.1111333333333","3287260","11.1477384183764","3.47930598498439","28.5","17.2633780366708","2.41309726336112"
